File Length , Non-Buffered Time Taken (ns)
47900 , 97192596
48000 , 96882901
48100 , 97389259
48200 , 97599681
48300 , 98093580
48400 , 97590789
48500 , 98094495
48600 , 98300242
48700 , 99142292
48800 , 99147184
48900 , 99236775
49000 , 99281816
49100 , 99442350
49200 , 100108256
49300 , 100261016
49400 , 100921862
49500 , 101087750
49600 , 102078645
49700 , 101498243
49800 , 101473175
49900 , 101827187
50000 , 101339445
50100 , 101061708
50200 , 102264447
50300 , 102729538
50400 , 102385361
50500 , 102269671
50600 , 103928342
50700 , 103707467
50800 , 103093012
50900 , 103712182
51000 , 103355981
51100 , 103248941
51200 , 103334964
51300 , 103425094
51400 , 103557971
51500 , 103716860
51600 , 104414833
51700 , 104024414
51800 , 104363964
51900 , 104618127
52000 , 104686862
52100 , 105258014
52200 , 105055075
52300 , 106234062
52400 , 106662999
52500 , 107862151
52600 , 105641836
52700 , 105943963
52800 , 106512237
52900 , 106427525
53000 , 106869798
53100 , 106907505
53200 , 107395885
53300 , 108780995
53400 , 108166632
53500 , 108902842
53600 , 109405581
53700 , 109621474
53800 , 108855919
53900 , 108568081
54000 , 110131005
54100 , 117537044
54200 , 110808562
54300 , 110369302
54400 , 111683036
54500 , 110509302
54600 , 111631245
54700 , 111665578
54800 , 111662316
54900 , 111588177
55000 , 112152690
55100 , 111982130
55200 , 111891573
55300 , 113613755
55400 , 113634354
55500 , 114233908
55600 , 113075173
55700 , 113424394
55800 , 113730456
55900 , 114322776
56000 , 114749444
56100 , 113917801
56200 , 114550538
56300 , 114167846
56400 , 114316117
56500 , 113784769
56600 , 114743124
56700 , 114099529
56800 , 114476903
56900 , 114949750
57000 , 114952398
57100 , 115353550
57200 , 115309461
57300 , 115671236
57400 , 116828493
57500 , 116099203
57600 , 116525622
57700 , 116596550
57800 , 116883364
57900 , 118384396
58000 , 117392165
58100 , 117423368
58200 , 117368894
58300 , 118199657
58400 , 118315377
58500 , 119018545
58600 , 119447790
58700 , 120881000
58800 , 120595343
58900 , 121521684
59000 , 119874913
59100 , 119550368
59200 , 120081963
59300 , 120719885
59400 , 122010876
59500 , 121169933
59600 , 121004976
59700 , 120528478
59800 , 120314746
59900 , 121560899
60000 , 120759060
60100 , 121282225
60200 , 121988773
60300 , 122449825
60400 , 122964819
60500 , 123587904
60600 , 124273325
60700 , 123737016
60800 , 123928468
60900 , 124218029
61000 , 127259199
61100 , 124251910
61200 , 125188473
61300 , 124543940
61400 , 124892560
61500 , 124099913
61600 , 125218639
61700 , 125512084
61800 , 125935397
61900 , 125933830
62000 , 126385802
62100 , 125049601
62200 , 125856185
62300 , 125529332
62400 , 126401784
62500 , 128724425
62600 , 127629855
62700 , 127174472
62800 , 127611115
62900 , 127814997
63000 , 129544871
63100 , 127593042
63200 , 137947967
63300 , 128382478
63400 , 131521460
63500 , 133781678
63600 , 135368343
63700 , 133447910
63800 , 134642588
63900 , 134308106
64000 , 133784119
64100 , 132457923
64200 , 134976498
64300 , 135623133
64400 , 135841315
64500 , 135031051
64600 , 135067478
64700 , 135403610
64800 , 137184414
64900 , 136471298
65000 , 133177207
65100 , 130633402
65200 , 131103311
65300 , 130999628
65400 , 131310983
65500 , 131472461
65600 , 131676504
65700 , 131933214
65800 , 133937060
65900 , 131703368
66000 , 134100173
66100 , 134574690
66200 , 134405117
66300 , 133493018
66400 , 134197158
66500 , 135866933
66600 , 135793442
66700 , 135578839
66800 , 136334633
66900 , 134944920
67000 , 135819633
67100 , 135855986
67200 , 136915748
67300 , 137183345
67400 , 136419128
67500 , 137724916
67600 , 137393536
67700 , 136750380
67800 , 136666802
67900 , 137719200
68000 , 137756430
