File Length , Non-Buffered Time Taken (ns)
148400 , 140217481
65800 , 66479788
84300 , 75897195
74900 , 75168039
182600 , 172290898
79100 , 77805760
67300 , 64137137
48800 , 58040476
112200 , 113437697
2600 , 16297408
161100 , 148407487
191600 , 223358086
1000 , 5441936
1500 , 4147720
153000 , 151342726
177100 , 181741890
19800 , 25659318
180900 , 178319474
123700 , 127769980
9000 , 24916367
140100 , 140774662
10200 , 25540831
92300 , 90531966
30500 , 44875532
53000 , 59331524
89500 , 94001197
74400 , 73552998
53200 , 62769896
71000 , 75618915
32500 , 35435046
107400 , 111031170
5100 , 14394833
105400 , 107189031
177000 , 171782164
79800 , 82969264
56100 , 61090346
196500 , 176900875
184400 , 173675051
161300 , 151639291
133100 , 125932461
50700 , 56721431
68300 , 65644529
67700 , 72988809
81800 , 82573343
103100 , 147548480
39800 , 91552978
71900 , 86104906
17900 , 24213226
151000 , 148634719
5800 , 9768843
95600 , 93464002
16300 , 25364325
197500 , 184342740
85900 , 82033126
17400 , 26323655
138500 , 134956158
16000 , 23249779
159300 , 151670170
18700 , 29374224
161700 , 171539840
60200 , 66076438
165700 , 150577208
80500 , 74271989
92400 , 95961799
82700 , 77069300
85000 , 90614875
103000 , 103923872
40800 , 43283573
78000 , 78080183
144500 , 135571938
166200 , 169506734
191800 , 221789489
87200 , 92706983
7000 , 19905770
169100 , 162296364
176400 , 167688143
195800 , 179661773
97000 , 96922298
49700 , 46962532
111600 , 110740001
67400 , 69733368
14700 , 21468581
198400 , 184865241
99800 , 111354364
176000 , 161630005
119700 , 125977824
108200 , 120356801
165400 , 162441753
86800 , 90953005
138300 , 129593065
16800 , 21666330
27900 , 28266356
180100 , 174134481
78900 , 76594920
27200 , 37905352
56900 , 65464994
157600 , 155422585
192000 , 252880596
9300 , 32856513
107500 , 106035895
154600 , 151269113
54100 , 65210213
163200 , 151708998
26600 , 35490678
125500 , 122593948
153700 , 156437346
11900 , 16963733
79200 , 82720327
82500 , 78387708
131700 , 127217606
6300 , 18817097
190800 , 182799565
194500 , 184642123
22800 , 26399010
83900 , 78074981
199900 , 187728030
182700 , 169494737
38600 , 50858463
102300 , 103984746
102800 , 95222781
168600 , 160381349
160700 , 147645931
142800 , 137653644
156100 , 148513274
180200 , 172111035
162200 , 149591414
42500 , 53793564
20300 , 25784660
161000 , 158744795
160500 , 150610027
186700 , 175375577
52500 , 50442372
35700 , 41462704
64000 , 70843109
129400 , 123577937
45300 , 54119819
101000 , 91375518
73500 , 80510793
13900 , 28753627
147300 , 142392005
82100 , 83125170
89100 , 84228804
106200 , 106335766
148600 , 143420489
34500 , 47508574
135600 , 128499069
130000 , 120928277
188900 , 182320226
85200 , 104854077
185800 , 176699228
47000 , 52499623
89400 , 92861281
103900 , 102063690
164000 , 159284322
9700 , 21002380
118700 , 115946999
136100 , 126830696
65100 , 63415537
110100 , 115542244
82200 , 83554707
136000 , 128228512
159100 , 176505431
64600 , 68460091
41000 , 43185286
4400 , 13996677
123800 , 115859759
23300 , 27783620
33900 , 42026340
134600 , 123273155
35500 , 45993199
47100 , 59578643
170100 , 172323551
89800 , 123892339
191400 , 238385714
156200 , 180856935
149600 , 167689156
81400 , 121108610
108500 , 101497195
83400 , 87859027
188800 , 177533467
10600 , 40703872
193500 , 179671103
166800 , 151354404
107900 , 106968865
32000 , 44945377
198800 , 181458166
167300 , 159619056
189100 , 177564539
23200 , 33601419
140500 , 134518883
135900 , 125131176
30300 , 35519832
134300 , 128137474
197900 , 186958902
89600 , 88556524
79600 , 84019471
127900 , 129355828
100600 , 90314614
111400 , 114448984
86900 , 90505467
10900 , 20409944
68900 , 69900492
171200 , 171762100
80800 , 90289163
181600 , 171642450
190500 , 182193691
194900 , 195639148
5500 , 20520148
144700 , 147010366
10100 , 29297614
129500 , 138443772
68000 , 90785324
121700 , 114849117
181000 , 171035025
141100 , 140525126
88900 , 95315836
122900 , 114434663
121500 , 121238607
179000 , 176250336
110900 , 109458386
154500 , 149478167
8400 , 17016036
79400 , 80803980
136300 , 134090588
1800 , 7926194
69000 , 80581057
33000 , 40543498
132400 , 132069097
171700 , 160320926
74000 , 79774867
93800 , 93745727
111500 , 104062854
196100 , 180511582
29000 , 36140038
68400 , 68429960
3600 , 15456456
57100 , 62644810
148100 , 141554902
120600 , 126443720
24400 , 30138346
65500 , 64014306
165000 , 161098659
55100 , 56948183
115000 , 115994036
44500 , 53982569
34900 , 43996898
125000 , 120641460
175200 , 165711168
197300 , 183044021
17000 , 29213682
114700 , 112960648
28000 , 34133126
129100 , 129557138
19000 , 24981189
67800 , 66038125
20200 , 36457765
59600 , 69489010
143900 , 186259187
88600 , 92478271
67100 , 65459318
54600 , 61924984
115100 , 110034490
14300 , 32374187
22000 , 27072696
182500 , 206172790
75300 , 155256015
188200 , 180821850
124700 , 129131083
82300 , 87305057
86500 , 80181498
26300 , 38732442
34200 , 49448551
10800 , 21054494
135200 , 131894365
171800 , 165640304
159000 , 144867921
84000 , 84488243
67000 , 65514670
48400 , 48845656
71600 , 74984830
107000 , 106438369
56600 , 55180130
157700 , 148520789
20600 , 32437470
69500 , 68365251
137300 , 134551209
49100 , 68428277
98800 , 95386808
71100 , 76884449
183300 , 176146407
134800 , 135049631
101700 , 100197853
180000 , 177830599
58200 , 57101665
151200 , 148948096
3700 , 17110185
5000 , 16619334
105500 , 101540317
150600 , 148457282
62000 , 68389935
158700 , 158719729
176300 , 169066425
90800 , 87598488
193100 , 183106059
15800 , 28098336
14800 , 21583160
12500 , 21261864
133800 , 135109331
185300 , 178508125
29700 , 34425967
166600 , 158191024
1900 , 7467590
193800 , 179894917
198600 , 199633391
122000 , 116299872
100700 , 94757964
160800 , 147830730
189300 , 174815991
72600 , 73416905
55000 , 60382829
136900 , 125314870
198000 , 186739408
87300 , 90484696
76900 , 80042640
18100 , 28430235
157800 , 149433761
123400 , 122330955
155300 , 158862276
60700 , 60661118
148900 , 136957235
151300 , 137245226
10500 , 21984509
136600 , 135363328
12300 , 18795199
122400 , 120512149
158600 , 156110451
86100 , 86294921
139600 , 139555863
41900 , 44887739
134000 , 127139198
7500 , 22308149
51200 , 54662515
66900 , 70010637
162600 , 154347962
96200 , 101448237
187300 , 173094628
141200 , 135611995
140400 , 144592122
55900 , 62910380
147500 , 142344126
43500 , 48364187
100100 , 104081490
167800 , 156190281
135500 , 168598811
36900 , 111262473
142000 , 145595182
197600 , 186386804
39100 , 88225252
55300 , 54316630
133600 , 129001947
22600 , 27134151
89200 , 90069857
181200 , 163108938
109700 , 111694780
13600 , 23325181
63500 , 61521903
97100 , 104618581
116600 , 109266630
171100 , 154970195
73600 , 76014349
118600 , 120326976
54900 , 53540085
126300 , 123828671
75500 , 75588509
117900 , 112337158
46600 , 46319902
59300 , 62693611
108300 , 105260045
175100 , 168766638
129200 , 123138746
142100 , 142098671
75100 , 80437509
85600 , 87134590
147100 , 141700345
8700 , 19912490
26700 , 36286734
200000 , 194145771
141300 , 141532243
101200 , 106139366
44000 , 49330217
176800 , 163269312
97500 , 98804292
177300 , 164188595
129300 , 121253599
190600 , 181179232
13400 , 22137737
70500 , 69677722
21900 , 33938740
132100 , 126973495
101800 , 106063299
73800 , 71171342
174600 , 162548221
78100 , 74628913
2400 , 16326082
18600 , 27164090
16900 , 26115453
138900 , 136475536
165600 , 234157366
44100 , 59873044
41800 , 56224654
36200 , 43038166
195100 , 187212461
59000 , 61236366
181100 , 175818779
124000 , 115321434
153400 , 146262615
84800 , 89972821
68600 , 65128656
162300 , 155804650
96900 , 97157836
22200 , 33193018
146500 , 142427245
62300 , 66897204
181700 , 172824369
31000 , 43425941
14600 , 22833208
130200 , 124136824
125100 , 123209271
154700 , 150977641
186000 , 175729824
183200 , 169912556
96100 , 89326972
82400 , 81955800
154900 , 153398363
180800 , 171377609
63000 , 68053206
87000 , 91367589
199800 , 189338872
56800 , 71688215
72300 , 69278921
183000 , 176032224
83700 , 77390824
151500 , 144179042
186900 , 169804899
103800 , 102244388
48500 , 54896823
98600 , 98293326
79700 , 83190743
51300 , 52509140
175700 , 162668203
180500 , 166945957
91500 , 88280400
50500 , 49945808
170800 , 158971765
23600 , 79259916
87500 , 91271338
37600 , 101466273
134700 , 127847431
20000 , 78054863
151600 , 146247007
190000 , 197055213
52100 , 66005375
139900 , 139908450
104000 , 101050381
152700 , 150197083
3100 , 8016927
180400 , 168157937
103700 , 104485060
6900 , 11932151
17500 , 20920934
113300 , 115519045
52600 , 60653567
140900 , 136864848
118400 , 112041543
158500 , 145510318
15500 , 25932402
17700 , 22927254
145400 , 134118311
23800 , 34572860
9900 , 19850192
32200 , 34180751
145000 , 134905922
81200 , 86040126
137100 , 138669382
137600 , 126206657
186200 , 172030001
131000 , 125041584
120300 , 116154341
120800 , 116408310
71300 , 75401591
26500 , 35170477
27800 , 25401852
190300 , 178859634
25200 , 30160462
110500 , 104992961
7200 , 22258043
9500 , 22667535
77500 , 83695685
31800 , 42201019
54200 , 51867556
163000 , 155680151
11600 , 18242842
53300 , 59821997
150400 , 144468702
109900 , 107599047
179400 , 173966690
193200 , 181938482
187100 , 209633732
158800 , 160253197
22700 , 32763437
182900 , 170336262
35100 , 48480309
116300 , 118293939
114200 , 111376582
100300 , 100085618
87900 , 83172213
106500 , 99936302
135400 , 129070169
179100 , 163703585
113600 , 107869579
187700 , 172621752
37200 , 42434568
42600 , 43338416
194800 , 183181842
148000 , 145166838
179200 , 177000557
47500 , 48015692
57300 , 64171088
31900 , 39595054
5300 , 17951220
69900 , 67962502
131400 , 128084706
28300 , 33779919
140000 , 139705739
112900 , 110904784
17200 , 29107220
174000 , 162777544
106700 , 115396649
23700 , 25703719
150500 , 143477067
85400 , 87020157
198700 , 190778853
48700 , 51410667
72500 , 77437081
34300 , 41369879
11500 , 15885921
101100 , 99917966
129900 , 121863313
98100 , 97803551
84700 , 88331315
140300 , 133617665
142200 , 131485193
77100 , 78446039
187000 , 178515367
170500 , 177310578
106800 , 106443814
114100 , 134454860
137900 , 146634138
89900 , 88173011
53400 , 56976911
189600 , 193727875
102200 , 154312817
58000 , 56014493
161200 , 153227294
88000 , 133625351
197100 , 209686534
88300 , 78190258
40000 , 65715911
184800 , 176265599
32100 , 41932560
14500 , 24972786
100000 , 96457042
193900 , 183850250
170300 , 160266021
190200 , 187441260
121400 , 118816260
67200 , 63063705
175900 , 166934549
121800 , 118796950
153500 , 145555846
17600 , 28409868
132300 , 131305871
38200 , 47351849
89700 , 95357363
95300 , 94276397
183800 , 168946983
127100 , 118086098
119500 , 117461523
19700 , 31938218
140600 , 133657950
155200 , 143954604
37900 , 43552758
178600 , 171430468
84100 , 83303402
166100 , 159226908
64700 , 65040384
124400 , 116804563
144400 , 143504754
4300 , 18055589
6700 , 16441446
104900 , 122459236
90000 , 106324289
132800 , 140274582
150100 , 142064819
134400 , 126560989
90400 , 79917916
30800 , 33286752
29400 , 29787364
85300 , 83944323
149300 , 142347427
165800 , 156966877
11000 , 16156903
31200 , 45897109
91200 , 87332195
92800 , 92178185
24600 , 27079416
173800 , 166348773
192500 , 173932424
