File Length , Non-Buffered Time Taken (ns)
197500 , 182788974
85900 , 84243781
17400 , 25955013
138500 , 135227802
16000 , 23440740
159300 , 154212342
18700 , 25956883
161700 , 146540347
60200 , 62085960
165700 , 158137451
80500 , 77722236
92400 , 92723618
82700 , 82579276
85000 , 89404826
103000 , 98809992
40800 , 43450316
78000 , 80809062
144500 , 138443442
166200 , 155804373
191800 , 181469360
87200 , 82921195
7000 , 12391396
169100 , 200379462
176400 , 167253254
195800 , 177083541
97000 , 91444842
49700 , 53101013
111600 , 109776924
67400 , 70081617
14700 , 19686145
198400 , 183365502
99800 , 127027959
176000 , 169520662
119700 , 115957658
108200 , 101021781
165400 , 157029821
86800 , 98689402
138300 , 135521158
16800 , 20830783
27900 , 41243892
180100 , 170398693
78900 , 77396728
27200 , 34474049
56900 , 60963679
157600 , 151113060
192000 , 180071314
9300 , 20266547
107500 , 164059278
154600 , 157130380
54100 , 51738611
163200 , 161667454
26600 , 40037199
125500 , 124480242
153700 , 144875044
11900 , 26021802
79200 , 84993617
82500 , 76859519
131700 , 130701286
6300 , 15245012
190800 , 180463178
194500 , 175238138
22800 , 27338207
83900 , 81521289
199900 , 181617162
182700 , 168601948
38600 , 41836383
102300 , 96548811
102800 , 101716672
168600 , 157147410
160700 , 152109572
142800 , 133865104
156100 , 143190597
180200 , 169762731
162200 , 151827302
42500 , 41711555
20300 , 26565608
161000 , 155678114
160500 , 144415234
186700 , 175258683
52500 , 59708320
35700 , 42455947
64000 , 67469551
129400 , 128990878
45300 , 50431653
101000 , 95172422
73500 , 75570370
13900 , 19319478
147300 , 136443719
82100 , 80404956
89100 , 82173375
106200 , 107404164
148600 , 141799101
34500 , 45239100
135600 , 133299069
130000 , 116981382
188900 , 173288308
85200 , 197014619
185800 , 181943622
47000 , 54801817
89400 , 89096019
103900 , 95543967
164000 , 155585348
9700 , 23173345
118700 , 118942075
136100 , 129988351
65100 , 69466546
110100 , 111443663
82200 , 85147668
136000 , 133238366
159100 , 152320778
64600 , 60779020
41000 , 38240234
4400 , 14608298
123800 , 112381072
23300 , 30850087
33900 , 44530574
134600 , 130624804
35500 , 39550492
47100 , 65293941
170100 , 161882379
89800 , 94234807
191400 , 180642311
156200 , 153848504
149600 , 139099118
81400 , 86312057
108500 , 106852403
83400 , 83924463
188800 , 179198677
10600 , 21691133
193500 , 186772528
166800 , 152065804
107900 , 106828974
32000 , 45650152
198800 , 181963588
167300 , 156891172
189100 , 177082724
23200 , 26651023
140500 , 127569953
135900 , 129613157
30300 , 36455445
134300 , 128277779
197900 , 182594784
89600 , 98740613
79600 , 97587301
127900 , 120886033
100600 , 104943807
111400 , 105691485
86900 , 85694729
10900 , 18568349
68900 , 70195913
171200 , 161260418
80800 , 83375684
181600 , 164688975
190500 , 178404254
194900 , 180487856
5500 , 19780054
144700 , 142674678
10100 , 17388622
129500 , 125075739
68000 , 68175043
121700 , 111535248
181000 , 166881497
141100 , 137502023
88900 , 83021769
122900 , 123636481
121500 , 116065209
179000 , 162163727
110900 , 110591777
154500 , 143092697
8400 , 18059000
79400 , 87951000
136300 , 134812269
1800 , 12735098
69000 , 77274437
33000 , 42451947
132400 , 122696811
171700 , 168944931
74000 , 88299620
93800 , 123405871
111500 , 205311103
196100 , 194640672
29000 , 34447790
68400 , 68965668
3600 , 7314389
57100 , 59410097
148100 , 141373792
