File Length , Buffer Size (Byte), Buffered Time Taken (ns)
87600 , 0 , 621503
87700 , 0 , 643446
87800 , 0 , 627580
87900 , 0 , 657275
88000 , 0 , 623749
88100 , 0 , 619233
88200 , 0 , 634209
88300 , 0 , 640339
88400 , 0 , 652243
88500 , 0 , 683259
88600 , 0 , 620093
88700 , 0 , 693831
88800 , 0 , 637781
88900 , 0 , 626444
89000 , 0 , 627296
89100 , 0 , 679633
89200 , 0 , 637000
89300 , 0 , 753198
89400 , 0 , 665585
89500 , 0 , 625771
89600 , 0 , 671912
89700 , 0 , 689864
89800 , 0 , 633807
89900 , 0 , 627755
90000 , 0 , 669140
90100 , 0 , 667480
90200 , 0 , 671652
90300 , 0 , 646855
90400 , 0 , 642477
90500 , 0 , 638941
90600 , 0 , 636799
90700 , 0 , 637738
90800 , 0 , 658176
90900 , 0 , 692363
91000 , 0 , 680692
91100 , 0 , 640033
91200 , 0 , 651173
91300 , 0 , 676898
91400 , 0 , 644600
91500 , 0 , 659782
91600 , 0 , 664497
91700 , 0 , 677728
91800 , 0 , 685569
91900 , 0 , 651657
92000 , 0 , 658277
92100 , 0 , 706277
92200 , 0 , 653462
92300 , 0 , 676659
92400 , 0 , 683515
92500 , 0 , 691729
92600 , 0 , 656247
92700 , 0 , 662945
92800 , 0 , 662510
92900 , 0 , 659820
93000 , 0 , 656881
93100 , 0 , 696014
93200 , 0 , 705607
93300 , 0 , 709548
93400 , 0 , 681261
93500 , 0 , 730670
93600 , 0 , 665095
93700 , 0 , 697837
93800 , 0 , 677836
93900 , 0 , 672488
94000 , 0 , 707499
94100 , 0 , 667136
94200 , 0 , 695661
94300 , 0 , 729584
94400 , 0 , 706732
94500 , 0 , 697022
94600 , 0 , 682907
94700 , 0 , 712050
94800 , 0 , 695610
94900 , 0 , 693273
95000 , 0 , 702927
95100 , 0 , 672891
95200 , 0 , 728765
95300 , 0 , 709308
95400 , 0 , 718210
95500 , 0 , 675861
95600 , 0 , 711065
95700 , 0 , 678785
95800 , 0 , 705186
95900 , 0 , 677381
96000 , 0 , 719107
96100 , 0 , 716265
96200 , 0 , 695404
96300 , 0 , 680443
96400 , 0 , 681946
96500 , 0 , 685760
96600 , 0 , 679365
96700 , 0 , 747918
96800 , 0 , 724646
96900 , 0 , 758764
97000 , 0 , 689122
97100 , 0 , 684893
97200 , 0 , 687108
97300 , 0 , 702369
97400 , 0 , 687863
97500 , 0 , 699906
97600 , 0 , 728525
97700 , 0 , 694994
97800 , 0 , 691413
97900 , 0 , 718784
98000 , 0 , 688255
98100 , 0 , 729806
98200 , 0 , 703016
98300 , 0 , 729372
98400 , 0 , 741848
98500 , 0 , 764510
98600 , 0 , 701487
98700 , 0 , 695999
98800 , 0 , 726233
98900 , 0 , 713278
99000 , 0 , 757479
99100 , 0 , 701113
99200 , 0 , 700324
99300 , 0 , 711221
99400 , 0 , 701220
99500 , 0 , 738652
99600 , 0 , 716690
99700 , 0 , 753510
99800 , 0 , 706740
99900 , 0 , 705577
100000 , 0 , 707051
100100 , 0 , 781706
100200 , 0 , 711557
100300 , 0 , 719704
100400 , 0 , 761432
100500 , 0 , 711094
100600 , 0 , 720798
100700 , 0 , 708318
100800 , 0 , 718681
100900 , 0 , 755465
101000 , 0 , 724423
101100 , 0 , 760580
101200 , 0 , 751510
101300 , 0 , 774237
101400 , 0 , 752857
101500 , 0 , 712677
101600 , 0 , 776458
101700 , 0 , 756446
101800 , 0 , 764452
101900 , 0 , 755146
102000 , 0 , 713707
102100 , 0 , 726549
102200 , 0 , 758769
102300 , 0 , 732299
102400 , 0 , 720173
102500 , 0 , 772596
102600 , 0 , 723668
102700 , 0 , 755446
102800 , 0 , 736249
102900 , 0 , 736781
103000 , 0 , 741468
103100 , 0 , 774826
103200 , 0 , 763683
103300 , 0 , 795972
103400 , 0 , 732887
103500 , 0 , 728236
103600 , 0 , 782810
103700 , 0 , 754785
103800 , 0 , 841510
103900 , 0 , 733487
104000 , 0 , 732635
104100 , 0 , 769425
104200 , 0 , 765628
104300 , 0 , 747632
104400 , 0 , 768953
104500 , 0 , 798440
104600 , 0 , 739664
104700 , 0 , 775930
104800 , 0 , 734595
104900 , 0 , 778845
105000 , 0 , 751165
105100 , 0 , 793580
105200 , 0 , 775918
105300 , 0 , 748278
105400 , 0 , 779637
105500 , 0 , 746581
105600 , 0 , 794833
105700 , 0 , 814353
105800 , 0 , 820769
105900 , 0 , 810298
106000 , 0 , 818867
106100 , 0 , 813995
106200 , 0 , 963303
106300 , 0 , 828061
106400 , 0 , 866991
106500 , 0 , 821384
106600 , 0 , 814418
106700 , 0 , 809322
106800 , 0 , 857869
106900 , 0 , 833434
107000 , 0 , 840038
107100 , 0 , 817572
107200 , 0 , 813261
107300 , 0 , 837160
107400 , 0 , 820813
107500 , 0 , 829841
107600 , 0 , 967614
107700 , 0 , 1134902
107800 , 0 , 1090235
107900 , 0 , 831430
108000 , 0 , 844186
108100 , 0 , 843658
108200 , 0 , 885964
108300 , 0 , 800586
108400 , 0 , 764098
108500 , 0 , 833752
108600 , 0 , 779390
108700 , 0 , 800281
108800 , 0 , 784163
108900 , 0 , 981867
109000 , 0 , 779332
109100 , 0 , 772639
109200 , 0 , 850907
109300 , 0 , 781794
109400 , 0 , 803856
109500 , 0 , 767564
109600 , 0 , 769128
109700 , 0 , 839945
109800 , 0 , 776149
109900 , 0 , 822656
110000 , 0 , 817908
110100 , 0 , 780800
110200 , 0 , 812160
110300 , 0 , 886266
110400 , 0 , 821945
110500 , 0 , 809517
110600 , 0 , 826019
110700 , 0 , 790789
110800 , 0 , 777827
110900 , 0 , 787592
111000 , 0 , 846411
111100 , 0 , 793530
111200 , 0 , 870448
111300 , 0 , 791076
111400 , 0 , 841560
111500 , 0 , 785271
111600 , 0 , 834937
111700 , 0 , 829198
111800 , 0 , 937444
111900 , 0 , 791098
112000 , 0 , 789843
112100 , 0 , 839023
112200 , 0 , 789636
112300 , 0 , 801397
112400 , 0 , 789117
112500 , 0 , 838657
112600 , 0 , 800985
112700 , 0 , 794958
112800 , 0 , 793584
112900 , 0 , 844954
113000 , 0 , 807161
113100 , 0 , 852273
113200 , 0 , 915865
113300 , 0 , 807163
113400 , 0 , 932073
113500 , 0 , 802109
113600 , 0 , 815532
113700 , 0 , 844229
113800 , 0 , 1308261
113900 , 0 , 829111
114000 , 0 , 852158
114100 , 0 , 845344
114200 , 0 , 880866
114300 , 0 , 806282
114400 , 0 , 802883
114500 , 0 , 943676
114600 , 0 , 814365
