String Length , Time Taken (ns)
46700 , 181515443
46800 , 188256899
46900 , 162905913
47000 , 165757000
47100 , 160709664
47200 , 163626517
47300 , 164860792
47400 , 161736189
47500 , 164161435
47600 , 164412867
47700 , 168516928
47800 , 166513528
47900 , 169693648
48000 , 168634063
48100 , 171671933
48200 , 170283630
48300 , 170873078
48400 , 173255818
48500 , 174917781
48600 , 183494918
48700 , 189807913
48800 , 174634167
48900 , 175526515
49000 , 181048432
49100 , 174903712
49200 , 174580483
49300 , 179058049
49400 , 180450466
49500 , 182009219
49600 , 179377556
49700 , 182635034
49800 , 180200740
49900 , 181755830
50000 , 183689817
50100 , 188315912
50200 , 181189724
50300 , 186661133
50400 , 187024936
50500 , 190995265
50600 , 191310707
50700 , 188310873
50800 , 188794971
50900 , 188038311
51000 , 192567427
51100 , 189176044
51200 , 198012985
51300 , 193982916
51400 , 193955597
51500 , 193578825
51600 , 196715355
51700 , 196569651
51800 , 194545818
51900 , 204302524
52000 , 197209489
52100 , 197536159
52200 , 201527519
52300 , 201791929
52400 , 205880302
52500 , 202712344
52600 , 207360627
52700 , 206028508
52800 , 204908626
52900 , 206412749
53000 , 204990785
53100 , 203717984
53200 , 207296985
53300 , 204105565
53400 , 209843010
53500 , 211747939
53600 , 209720582
53700 , 209201391
53800 , 213332011
53900 , 216336306
54000 , 213199392
54100 , 215929758
54200 , 215729964
54300 , 223440293
54400 , 219306558
54500 , 213677019
54600 , 218337562
54700 , 217494456
54800 , 219110044
54900 , 225490829
55000 , 222021694
55100 , 220849787
55200 , 223917990
55300 , 225003203
55400 , 222570338
55500 , 228821597
55600 , 228662860
55700 , 226195881
55800 , 228182680
55900 , 231077167
56000 , 229549827
56100 , 227777747
56200 , 234279193
56300 , 231080268
56400 , 231688118
56500 , 230328789
56600 , 236580101
56700 , 231491056
56800 , 237003149
56900 , 239211486
57000 , 237128802
57100 , 246668876
57200 , 242235443
57300 , 240520553
57400 , 242327916
57500 , 242139694
57600 , 242000784
57700 , 247622579
57800 , 243578753
57900 , 241615582
58000 , 246458547
58100 , 247021925
58200 , 252237904
58300 , 246938790
58400 , 251007125
58500 , 247594410
58600 , 252638566
58700 , 251784832
58800 , 253013983
58900 , 254275271
59000 , 253845042
59100 , 257846633
59200 , 261403013
59300 , 258907644
59400 , 258136849
59500 , 257910188
59600 , 263407214
59700 , 277503836
59800 , 265024120
59900 , 262045708
60000 , 260724983
60100 , 261023984
60200 , 262940235
60300 , 268682351
60400 , 264009061
60500 , 272560709
60600 , 263581657
60700 , 266539890
60800 , 265673672
60900 , 266737597
61000 , 274033237
61100 , 269133884
61200 , 271576527
61300 , 275113478
61400 , 272439144
61500 , 279890336
61600 , 277429731
61700 , 278040962
61800 , 283921269
61900 , 280410372
62000 , 280459750
62100 , 288776942
62200 , 283857856
62300 , 281931325
62400 , 286066038
62500 , 284529577
62600 , 289151310
62700 , 286105639
62800 , 292141394
62900 , 290334835
63000 , 288426957
63100 , 289129647
63200 , 289098919
63300 , 292349206
63400 , 291445534
63500 , 292745861
63600 , 295120969
63700 , 294907246
63800 , 295651855
63900 , 314984455
64000 , 307322711
64100 , 298351694
64200 , 298510566
64300 , 301816177
64400 , 304355094
64500 , 302784555
64600 , 313841317
64700 , 301114416
64800 , 309150112
64900 , 307307052
65000 , 310060362
65100 , 312501703
65200 , 311826439
65300 , 305905012
65400 , 309385418
65500 , 313196055
65600 , 311727238
65700 , 316147890
65800 , 315232462
