File Length , Buffer Size (Byte), Buffered Time Taken (ns)
109100 , 0 , 12929864
130700 , 0 , 17114529
188000 , 0 , 19107777
62500 , 0 , 12652605
93300 , 0 , 11823666
62900 , 0 , 10611515
26200 , 0 , 11723197
116200 , 0 , 14372487
87700 , 0 , 11193503
191700 , 0 , 11833568
800 , 0 , 5295644
175000 , 0 , 14066610
139700 , 0 , 19897562
22500 , 0 , 12032594
70600 , 0 , 12576211
900 , 0 , 840806
56200 , 0 , 9729371
3200 , 0 , 5858987
149900 , 0 , 12275789
117400 , 0 , 8432781
127800 , 0 , 9322928
16400 , 0 , 11552763
165300 , 0 , 27639907
198200 , 0 , 16452425
164800 , 0 , 18780295
87600 , 0 , 12630222
118300 , 0 , 14395925
56700 , 0 , 8612276
169200 , 0 , 22095172
62400 , 0 , 15875870
112000 , 0 , 16128730
106100 , 0 , 10882097
111300 , 0 , 10524257
9600 , 0 , 6251754
174300 , 0 , 20121815
68800 , 0 , 17865298
24900 , 0 , 11564964
75400 , 0 , 8822189
80900 , 0 , 14270873
44800 , 0 , 16044974
166700 , 0 , 20581117
162000 , 0 , 9534518
18500 , 0 , 8920392
119600 , 0 , 9333802
104500 , 0 , 12347163
47900 , 0 , 18431274
52700 , 0 , 14346028
52900 , 0 , 12131582
75600 , 0 , 8812167
197000 , 0 , 14612259
51600 , 0 , 12653369
36100 , 0 , 7278546
75800 , 0 , 3020447
159600 , 0 , 16896978
22100 , 0 , 7895592
139200 , 0 , 12676997
133000 , 0 , 17990272
79000 , 0 , 8715103
128300 , 0 , 13057631
184900 , 0 , 12708035
56500 , 0 , 15831497
99900 , 0 , 17286234
7400 , 0 , 7884321
142400 , 0 , 19541294
57400 , 0 , 16711524
125700 , 0 , 15042007
8300 , 0 , 12710514
192200 , 0 , 22043545
147600 , 0 , 7040376
98500 , 0 , 10803129
179500 , 0 , 13492384
117300 , 0 , 13095261
27100 , 0 , 10214313
147700 , 0 , 5709020
70800 , 0 , 17087929
155600 , 0 , 17662344
194600 , 0 , 13038358
97700 , 0 , 7498161
133300 , 0 , 13049556
63200 , 0 , 17691440
151700 , 0 , 13773733
97400 , 0 , 18118529
43300 , 0 , 14564711
180700 , 0 , 18227106
10000 , 0 , 13876342
106900 , 0 , 10171882
186300 , 0 , 23819809
13200 , 0 , 10358413
100500 , 0 , 11466907
58500 , 0 , 7881451
163900 , 0 , 8775535
83500 , 0 , 16015260
113100 , 0 , 11309159
192100 , 0 , 13220354
2800 , 0 , 10293006
148400 , 0 , 12584739
65800 , 0 , 7737016
84300 , 0 , 6517318
74900 , 0 , 11016529
182600 , 0 , 22290664
