File Length , Buffer Size (Byte), Buffered Time Taken (ns)
194600 , 0 , 13855487
97700 , 0 , 17574705
133300 , 0 , 13909127
63200 , 0 , 16192838
151700 , 0 , 15421239
97400 , 0 , 17271709
43300 , 0 , 13805591
180700 , 0 , 20068314
10000 , 0 , 11311754
106900 , 0 , 10851459
186300 , 0 , 13868176
13200 , 0 , 8729140
100500 , 0 , 12595528
58500 , 0 , 7544486
163900 , 0 , 20952235
83500 , 0 , 15286751
113100 , 0 , 11470628
192100 , 0 , 14401249
2800 , 0 , 7499793
148400 , 0 , 14220320
65800 , 0 , 18110523
84300 , 0 , 6463723
74900 , 0 , 10626252
182600 , 0 , 21081785
79100 , 0 , 12541665
67300 , 0 , 6707815
48800 , 0 , 17929792
112200 , 0 , 16698073
2600 , 0 , 9323696
161100 , 0 , 14949204
191600 , 0 , 19859186
1000 , 0 , 13478342
1500 , 0 , 3908666
153000 , 0 , 12975730
177100 , 0 , 14817234
19800 , 0 , 16346434
180900 , 0 , 12246527
123700 , 0 , 12721515
9000 , 0 , 16237680
140100 , 0 , 14570660
10200 , 0 , 9478070
92300 , 0 , 18904734
30500 , 0 , 7750033
53000 , 0 , 13625518
89500 , 0 , 17011689
74400 , 0 , 11951787
53200 , 0 , 11579997
71000 , 0 , 6438627
32500 , 0 , 14159435
107400 , 0 , 12939826
5100 , 0 , 13797909
105400 , 0 , 10214333
177000 , 0 , 20836497
79800 , 0 , 15154328
56100 , 0 , 14507138
196500 , 0 , 13884787
184400 , 0 , 12592001
161300 , 0 , 9240741
133100 , 0 , 17704616
50700 , 0 , 14154878
68300 , 0 , 10997569
67700 , 0 , 15291156
81800 , 0 , 132018624
103100 , 0 , 55669510
39800 , 0 , 90639406
71900 , 0 , 85869891
17900 , 0 , 15746037
151000 , 0 , 18510217
5800 , 0 , 6768191
95600 , 0 , 15908091
16300 , 0 , 16177540
197500 , 0 , 16920753
85900 , 0 , 15930644
17400 , 0 , 1325560
138500 , 0 , 14455584
16000 , 0 , 7124157
159300 , 0 , 9144047
18700 , 0 , 15073876
161700 , 0 , 12549986
60200 , 0 , 14520741
165700 , 0 , 17195055
80500 , 0 , 16001750
92400 , 0 , 17905969
82700 , 0 , 10787693
85000 , 0 , 11580844
103000 , 0 , 19246723
40800 , 0 , 7651440
78000 , 0 , 15969657
144500 , 0 , 10671970
166200 , 0 , 11025643
191800 , 0 , 13070446
87200 , 0 , 12915745
7000 , 0 , 12539333
169100 , 0 , 11711218
176400 , 0 , 9276560
195800 , 0 , 7533505
97000 , 0 , 13018838
49700 , 0 , 15489582
111600 , 0 , 13141530
67400 , 0 , 8669449
14700 , 0 , 10603897
198400 , 0 , 16118710
99800 , 0 , 10654949
176000 , 0 , 18568342
119700 , 0 , 11153519
108200 , 0 , 9295785
165400 , 0 , 10676540
86800 , 0 , 15573075
138300 , 0 , 10120140
16800 , 0 , 14061991
27900 , 0 , 9065012
180100 , 0 , 20367126
78900 , 0 , 10361842
27200 , 0 , 11204787
56900 , 0 , 12585213
157600 , 0 , 12889628
192000 , 0 , 12962437
9300 , 0 , 14324041
107500 , 0 , 11524389
154600 , 0 , 9764862
54100 , 0 , 7367498
163200 , 0 , 15647421
26600 , 0 , 10650404
125500 , 0 , 15501247
153700 , 0 , 13940671
11900 , 0 , 13990558
79200 , 0 , 16977151
82500 , 0 , 8855996
131700 , 0 , 9360185
6300 , 0 , 12947831
190800 , 0 , 13861366
194500 , 0 , 16025023
22800 , 0 , 9604449
83900 , 0 , 17071777
199900 , 0 , 19104559
182700 , 0 , 17099440
38600 , 0 , 11159955
102300 , 0 , 18700808
102800 , 0 , 16524979
168600 , 0 , 11583068
160700 , 0 , 15761225
142800 , 0 , 11830405
156100 , 0 , 29491553
180200 , 0 , 10526231
162200 , 0 , 14616751
42500 , 0 , 13158774
20300 , 0 , 12816561
161000 , 0 , 13175520
160500 , 0 , 12003251
186700 , 0 , 20380946
52500 , 0 , 11090510
35700 , 0 , 12029853
64000 , 0 , 10319412
129400 , 0 , 17127986
45300 , 0 , 13498404
101000 , 0 , 12089745
73500 , 0 , 13020890
13900 , 0 , 15260080
147300 , 0 , 11461776
82100 , 0 , 14821860
89100 , 0 , 10482188
106200 , 0 , 36594986
148600 , 0 , 10094963
34500 , 0 , 7300404
135600 , 0 , 14369649
130000 , 0 , 14304332
188900 , 0 , 22184337
85200 , 0 , 15033244
185800 , 0 , 14851049
47000 , 0 , 18803718
89400 , 0 , 11383797
103900 , 0 , 15734978
164000 , 0 , 14143578
9700 , 0 , 12205458
118700 , 0 , 14369295
136100 , 0 , 10212031
65100 , 0 , 15543697
110100 , 0 , 17489881
82200 , 0 , 12118609
136000 , 0 , 16736801
159100 , 0 , 12038596
64600 , 0 , 13556366
41000 , 0 , 13134958
4400 , 0 , 11543898
123800 , 0 , 12053213
23300 , 0 , 17012422
33900 , 0 , 11088829
134600 , 0 , 15524567
35500 , 0 , 10117637
47100 , 0 , 8913167
170100 , 0 , 16465876
89800 , 0 , 8608030
191400 , 0 , 17919238
156200 , 0 , 14651099
149600 , 0 , 17921929
81400 , 0 , 10212067
108500 , 0 , 7691559
83400 , 0 , 19102958
188800 , 0 , 11863409
10600 , 0 , 7132904
193500 , 0 , 18738284
166800 , 0 , 12824085
107900 , 0 , 11701787
32000 , 0 , 12208321
198800 , 0 , 17391017
167300 , 0 , 9929064
189100 , 0 , 14648206
23200 , 0 , 11414111
140500 , 0 , 20032154
135900 , 0 , 11491790
30300 , 0 , 15664315
134300 , 0 , 17408482
197900 , 0 , 19606486
89600 , 0 , 18227421
79600 , 0 , 15937121
